,type,年,月/日,縣市,地區
185,住宅竊盜,106,0421,新竹市,東區
186,住宅竊盜,106,0421,花蓮縣,吉安鄉
187,住宅竊盜,106,0422,彰化縣,埔心鄉
188,住宅竊盜,106,0422,高雄市,旗山區
189,住宅竊盜,106,0422,新北市,三重區
190,住宅竊盜,106,0422,台北市,南港區
191,住宅竊盜,106,0422,新北市,板橋區
192,住宅竊盜,106,0422,台北市,中山區
193,住宅竊盜,106,0422,花蓮縣,吉安鄉
194,住宅竊盜,106,0422,桃園市,桃園區
195,住宅竊盜,106,0422,雲林縣,麥寮鄉
196,住宅竊盜,106,0422,台北市,士林區
197,住宅竊盜,106,0422,台北市,士林區
198,住宅竊盜,106,0422,台南市,永康區
199,住宅竊盜,106,0423,苗栗縣,頭份市
200,住宅竊盜,106,0423,基隆市,信義區
201,住宅竊盜,106,0423,雲林縣,四湖鄉
202,住宅竊盜,106,0423,彰化縣,埔鹽鄉
203,住宅竊盜,106,0423,桃園市,桃園區
204,住宅竊盜,106,0423,雲林縣,虎尾鎮
205,住宅竊盜,106,0423,桃園市,觀音區
206,住宅竊盜,106,0423,基隆市,信義區
207,住宅竊盜,106,0423,台北市,大安區
208,住宅竊盜,106,0424,台南市,麻豆區
209,住宅竊盜,106,0424,宜蘭縣,員山鄉
210,住宅竊盜,106,0424,新竹縣,竹東鎮
211,住宅竊盜,106,0424,新北市,永和區
212,住宅竊盜,106,0424,南投縣,埔里鎮
213,住宅竊盜,106,0424,新北市,五股區
214,住宅竊盜,106,0424,屏東縣,屏東市
215,住宅竊盜,106,0424,台南市,中西區
216,住宅竊盜,106,0424,南投縣,名間鄉
217,住宅竊盜,106,0424,台南市,永康區
218,住宅竊盜,106,0424,台南市,南區
219,住宅竊盜,106,0424,台南市,安平區
220,住宅竊盜,106,0425,新北市,中和區
221,住宅竊盜,106,0425,新竹市,香山區
222,住宅竊盜,106,0425,新北市,板橋區
223,住宅竊盜,106,0425,台北市,南港區
224,住宅竊盜,106,0425,彰化縣,和美鎮
225,住宅竊盜,106,0425,屏東縣,屏東市
226,住宅竊盜,106,0425,宜蘭縣,壯圍鄉
227,住宅竊盜,106,0425,台北市,中山區
228,住宅竊盜,106,0425,台北市,內湖區
229,住宅竊盜,106,0425,宜蘭縣,礁溪鄉
230,住宅竊盜,106,0425,高雄市,大社區
231,住宅竊盜,106,0425,嘉義縣,梅山鄉
232,住宅竊盜,106,0425,台中市,北屯區
233,住宅竊盜,106,0426,台北市,北投區
234,住宅竊盜,106,0426,彰化縣,二林鎮
235,住宅竊盜,106,0426,台南市,永康區
236,住宅竊盜,106,0426,宜蘭縣,羅東鎮
237,住宅竊盜,106,0426,台南市,永康區
238,住宅竊盜,106,0426,南投縣,埔里鎮
239,住宅竊盜,106,0426,新竹市,北區
240,住宅竊盜,106,0426,台南市,鹽水區
241,住宅竊盜,106,0426,台北市,士林區
242,住宅竊盜,106,0426,桃園市,大園區
243,住宅竊盜,106,0427,高雄市,鳳山區
244,住宅竊盜,106,0427,新北市,蘆洲區
245,住宅竊盜,106,0427,新北市,三重區
246,住宅竊盜,106,0427,彰化縣,溪湖鎮
247,住宅竊盜,106,0427,新北市,新店區
248,住宅竊盜,106,0427,台北市,士林區
249,住宅竊盜,106,0427,新北市,中和區
250,住宅竊盜,106,0427,新竹縣,湖口鄉
251,住宅竊盜,106,0427,雲林縣,古坑鄉
252,住宅竊盜,106,0427,台北市,萬華區
253,住宅竊盜,106,0427,台中市,北屯區
254,住宅竊盜,106,0427,台北市,文山區
255,住宅竊盜,106,0427,新竹縣,新埔鎮
256,住宅竊盜,106,0427,台南市,永康區
