,縣市名,地區名,電影院,百貨,好市多,全聯,頂好
83,桃園市,平鎮區,0,0,0,3,0
84,桃園市,龍潭區,0,0,0,0,0
85,桃園市,楊梅區,0,0,0,1,0
86,桃園市,新屋區,0,0,0,0,0
87,桃園市,觀音區,0,0,0,0,0
88,桃園市,桃園區,2,0,1,13,0
89,桃園市,龜山區,0,0,0,5,0
90,桃園市,八德區,2,1,0,1,0
91,桃園市,大溪區,0,0,0,1,0
92,桃園市,復興區,0,0,0,0,0
93,桃園市,大園區,0,0,0,1,0
94,桃園市,蘆竹區,1,1,1,4,0
95,苗栗縣,竹南鎮,0,0,0,1,3
96,苗栗縣,頭份市,1,1,0,0,0
97,苗栗縣,三灣鄉,0,0,0,0,0
98,苗栗縣,南庄鄉,0,0,0,0,0
99,苗栗縣,獅潭鄉,0,0,0,0,0
100,苗栗縣,後龍鎮,0,0,0,1,1
101,苗栗縣,通霄鎮,0,0,0,0,1
102,苗栗縣,苑裡鎮,0,0,0,0,1
103,苗栗縣,苗栗市,1,0,0,2,3
104,苗栗縣,造橋鄉,0,0,0,0,0
105,苗栗縣,頭屋鄉,0,0,0,0,0
106,苗栗縣,公館鄉,0,0,0,0,1
107,苗栗縣,大湖鄉,0,0,0,0,0
108,苗栗縣,泰安鄉,0,0,0,0,0
109,苗栗縣,銅鑼鄉,0,0,0,0,0
110,苗栗縣,三義鄉,0,0,0,0,0
111,苗栗縣,西湖鄉,0,0,0,0,0
112,苗栗縣,卓蘭鎮,0,0,0,0,1
113,臺中市,中區,4,2,0,0,0
114,臺中市,東區,3,2,0,0,1
115,臺中市,南區,0,0,0,1,0
116,臺中市,西區,1,2,0,0,1
117,臺中市,北區,1,0,0,0,1
118,臺中市,北屯區,0,0,0,0,7
119,臺中市,西屯區,3,5,0,2,7
120,臺中市,南屯區,1,2,1,1,5
121,臺中市,太平區,0,0,0,0,4
122,臺中市,大里區,0,0,0,0,5
123,臺中市,霧峰區,0,0,0,0,1
124,臺中市,烏日區,0,0,0,0,2
125,臺中市,豐原區,2,0,0,0,6
126,臺中市,后里區,0,1,0,0,2
127,臺中市,石岡區,0,0,0,0,0
128,臺中市,東勢區,0,0,0,0,2
129,臺中市,和平區,0,0,0,0,0
130,臺中市,新社區,0,0,0,0,0
131,臺中市,潭子區,0,0,0,0,4
132,臺中市,大雅區,0,0,0,1,3
133,臺中市,神岡區,0,0,0,0,3
134,臺中市,大肚區,0,0,0,0,2
135,臺中市,沙鹿區,0,0,0,0,4
136,臺中市,龍井區,0,0,0,1,1
137,臺中市,梧棲區,0,1,0,0,1
138,臺中市,清水區,1,0,0,0,1
139,臺中市,大甲區,0,0,0,0,2
140,臺中市,外埔區,0,0,0,0,1
141,臺中市,大安區,0,0,0,0,0
142,彰化縣,彰化市,2,0,0,0,9
143,彰化縣,芬園鄉,0,0,0,0,1
144,彰化縣,花壇鄉,0,0,0,0,1
145,彰化縣,秀水鄉,0,0,0,0,1
146,彰化縣,鹿港鎮,0,0,0,0,3
147,彰化縣,福興鄉,0,0,0,0,1
148,彰化縣,線西鄉,0,0,0,0,0
149,彰化縣,和美鎮,0,0,0,0,4
150,彰化縣,伸港鄉,0,0,0,0,1
151,彰化縣,員林市,1,0,0,0,0
152,彰化縣,社頭鄉,0,0,0,0,1
153,彰化縣,永靖鄉,0,0,0,0,1
154,彰化縣,埔心鄉,0,0,0,0,1
155,彰化縣,溪湖鎮,0,0,0,0,2
156,彰化縣,大村鄉,0,0,0,0,0
157,彰化縣,埔鹽鄉,0,0,0,0,0
158,彰化縣,田中鎮,0,0,0,0,2
159,彰化縣,北斗鎮,0,0,0,0,2
160,彰化縣,田尾鄉,0,0,0,0,0
161,彰化縣,埤頭鄉,0,0,0,0,0
162,彰化縣,溪州鄉,0,0,0,0,1
163,彰化縣,竹塘鄉,0,0,0,0,1
164,彰化縣,二林鎮,0,0,0,0,3
165,彰化縣,大城鄉,0,0,0,0,0
166,彰化縣,芳苑鄉,0,0,0,0,0
167,彰化縣,二水鄉,0,0,0,0,0
168,南投縣,南投市,1,0,0,0,2
169,南投縣,中寮鄉,0,0,0,0,0
170,南投縣,草屯鎮,0,0,0,0,3
171,南投縣,國姓鄉,0,0,0,0,0
172,南投縣,埔里鎮,1,0,0,0,3
173,南投縣,仁愛鄉,0,0,0,0,0
174,南投縣,名間鄉,0,0,0,0,1
175,南投縣,集集鎮,0,0,0,0,0
176,南投縣,水里鄉,0,0,0,0,1
177,南投縣,魚池鄉,0,0,0,0,0
178,南投縣,信義鄉,0,0,0,0,0
179,南投縣,竹山鎮,0,0,0,0,2
180,南投縣,鹿谷鄉,0,0,0,0,1
181,嘉義市,西區,3,1,0,1,0
182,嘉義市,東區,0,1,1,0,1
183,嘉義縣,番路鄉,0,0,0,0,0
184,嘉義縣,梅山鄉,0,0,0,0,0
185,嘉義縣,竹崎鄉,0,0,0,0,1
186,嘉義縣,中埔鄉,0,0,0,0,0
187,嘉義縣,大埔鄉,0,0,0,0,0
188,嘉義縣,水上鄉,0,0,0,0,1
189,嘉義縣,鹿草鄉,0,0,0,0,0
190,嘉義縣,太保市,0,0,0,0,1
191,嘉義縣,朴子市,0,0,0,0,2
192,嘉義縣,東石鄉,0,0,0,0,0
193,嘉義縣,六腳鄉,0,0,0,0,0
194,嘉義縣,新港鄉,0,0,0,0,1
195,嘉義縣,民雄鄉,0,0,0,0,2
196,嘉義縣,大林鎮,0,0,0,0,1
197,嘉義縣,溪口鄉,0,0,0,0,0
198,嘉義縣,義竹鄉,0,0,0,0,0
199,嘉義縣,布袋鎮,0,0,0,0,0
200,雲林縣,斗南鎮,0,0,0,0,2
201,雲林縣,大埤鄉,0,0,0,0,0
202,雲林縣,虎尾鎮,1,0,0,0,3
203,雲林縣,土庫鎮,0,0,0,0,1
204,雲林縣,褒忠鄉,0,0,0,0,0
205,雲林縣,東勢鄉,0,0,0,0,0
206,雲林縣,臺西鄉,0,0,0,0,0
207,雲林縣,崙背鄉,0,0,0,0,1
